rank,ticker,company_name,sector,issuer_website,investor_relations_url,reports_url,edisclosure_url,reporting_standards,document_types,suitable_for_analysis,source_trust_level,last_verified_at,verification_status,source_page_status,preferred_acquisition_method,notes
1,SBER,Sberbank,financials,https://www.sberbank.com,https://www.sberbank.com/investor-relations,https://www.sberbank.com/investor-relations/reports-and-publications,https://disclosure.skrin.ru/issuers?search=SBER,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official IR reports page plus regulated disclosure fallback.
2,GAZP,Gazprom,oil_and_gas,https://www.gazprom.com,https://www.gazprom.com/investors/,https://www.gazprom.com/investors/disclosure/reports/,https://disclosure.skrin.ru/issuers?search=GAZP,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,tls_or_certificate_blocked,disclosure_provider_or_tls_diagnostics,Official disclosure reports page; current parser may need OCR for image-only statements.
3,LKOH,LUKOIL,oil_and_gas,https://www.lukoil.com,https://www.lukoil.com/InvestorAndShareholderCenter,https://www.lukoil.com/InvestorAndShareholderCenter/ReportsAndPresentations/FinancialReports,https://disclosure.skrin.ru/issuers?search=LKOH,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,verified_known_pipeline_source,stale_or_needs_update,update_source_page_then_direct_download,Used by current LKOH statement pipeline.
4,ROSN,Rosneft,oil_and_gas,https://www.rosneft.com,https://www.rosneft.com/Investors/,https://www.rosneft.com/Investors/statements_and_presentations/FinancialStatements/,https://disclosure.skrin.ru/issuers?search=ROSN,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Official financial statements page.
5,NVTK,NOVATEK,oil_and_gas,https://www.novatek.ru,https://www.novatek.ru/en/investors/,https://www.novatek.ru/en/investors/reports/,https://disclosure.skrin.ru/issuers?search=NVTK,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Official investor reports page.
6,GMKN,Nornickel,metals_and_mining,https://www.nornickel.com,https://www.nornickel.com/investors/,https://www.nornickel.com/investors/reports-and-results/,https://disclosure.skrin.ru/issuers?search=GMKN,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,reachable_no_static_direct_links,issuer_specific_js_or_embedded_json_adapter,Official reports and results page.
7,TATN,Tatneft,oil_and_gas,https://www.tatneft.ru,https://www.tatneft.ru/investors/?lang=en,https://www.tatneft.ru/investors/reporting/?lang=en,https://disclosure.skrin.ru/issuers?search=TATN,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Official reporting page; FY source acquisition still needs pipeline work.
8,SIBN,Gazprom Neft,oil_and_gas,https://www.gazprom-neft.com,https://ir.gazprom-neft.com,https://ir.gazprom-neft.com/reports-and-results/,https://disclosure.skrin.ru/issuers?search=SIBN,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,timeout_or_slow_source,issuer_specific_adapter_or_manual_upload,Official IR reports and results page.
9,SNGS,Surgutneftegas,oil_and_gas,https://www.surgutneftegas.ru,https://www.surgutneftegas.ru/investors/,https://www.surgutneftegas.ru/investors/reports/,https://disclosure.skrin.ru/issuers?search=SNGS,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,tls_or_certificate_blocked,disclosure_provider_or_tls_diagnostics,Issuer reports page should be manually checked for period coverage.
10,PLZL,Polyus,metals_and_mining,https://polyus.com,https://polyus.com/en/investors/,https://polyus.com/en/investors/reports-and-results/,https://disclosure.skrin.ru/issuers?search=PLZL,both,financial_statements;annual_report;issuer_report,true,official issuer,2026-05-12,needs_manual_review,stale_or_needs_update,update_source_page_then_direct_download,Official investor reports page.
