period,reporting_standard,statement_type,metric_code,metric_name_original,value,currency,unit_multiplier,period_type,source_location,quality_flag,confidence_score
2021Q2,IFRS,income_statement,revenue,Revenue,230000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=1",fixture,1.0
2021Q2,IFRS,income_statement,ebitda,EBITDA,45000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=2",fixture,1.0
2021Q2,IFRS,income_statement,operating_profit,Operating profit,36000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=3",fixture,1.0
2021Q2,IFRS,income_statement,net_income,Net income,28000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=4",fixture,1.0
2021Q2,IFRS,balance_sheet,total_assets,Total assets,620000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=5",fixture,1.0
2021Q2,IFRS,balance_sheet,total_equity,Total equity,380000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=6",fixture,1.0
2021Q2,IFRS,balance_sheet,total_debt,Total debt,120000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=7",fixture,1.0
2021Q2,IFRS,balance_sheet,cash_and_equivalents,Cash and equivalents,70000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=8",fixture,1.0
2021Q2,IFRS,balance_sheet,current_assets,Current assets,210000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=9",fixture,1.0
2021Q2,IFRS,balance_sheet,current_liabilities,Current liabilities,105000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=10",fixture,1.0
2021Q2,IFRS,cash_flow,operating_cash_flow,Operating cash flow,32000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=11",fixture,1.0
2021Q2,IFRS,cash_flow,capex,Capital expenditures,11000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=12",fixture,1.0
2021Q3,IFRS,income_statement,revenue,Revenue,245000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=13",fixture,1.0
2021Q3,IFRS,income_statement,ebitda,EBITDA,49000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=14",fixture,1.0
2021Q3,IFRS,income_statement,operating_profit,Operating profit,39000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=15",fixture,1.0
2021Q3,IFRS,income_statement,net_income,Net income,30000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=16",fixture,1.0
2021Q3,IFRS,balance_sheet,total_assets,Total assets,640000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=17",fixture,1.0
2021Q3,IFRS,balance_sheet,total_equity,Total equity,395000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=18",fixture,1.0
2021Q3,IFRS,balance_sheet,total_debt,Total debt,118000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=19",fixture,1.0
2021Q3,IFRS,balance_sheet,cash_and_equivalents,Cash and equivalents,72000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=20",fixture,1.0
2021Q3,IFRS,balance_sheet,current_assets,Current assets,225000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=21",fixture,1.0
2021Q3,IFRS,balance_sheet,current_liabilities,Current liabilities,112000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=22",fixture,1.0
2021Q3,IFRS,cash_flow,operating_cash_flow,Operating cash flow,35000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=23",fixture,1.0
2021Q3,IFRS,cash_flow,capex,Capital expenditures,12000,RUB,1000000,quarter,"fixture:sheet=financial_facts;table=demo;row=24",fixture,1.0
